City,Country,Date,Latitude,Longtitude,Cloudiness,Humidity,Max_Temp,Wind_Speed
San Cristóbal,CO,1604776928,9.88,-75.25,75,79,84.2,6.93
Roblin,CA,1604776930,51.23,-101.36,100,86,31.44,17.96
Sarkand,KZ,1604776932,45.41,79.92,9,35,47.7,6.98
Anloga,GH,1604776174,5.79,0.9,75,74,78.8,4.7
Lyngseidet,NO,1604776935,69.58,20.22,75,74,35.6,23.04
Iqaluit,CA,1604776937,63.75,-68.51,90,72,10.4,9.17
Xianyang,CN,1604776939,34.34,108.7,0,93,51.01,2.24
Aljezur,PT,1604776828,37.32,-8.8,1,85,61.84,8.19
Caohe,CN,1604776944,30.23,115.43,0,55,57.36,2.08
Coquimbo,CL,1604776511,-29.95,-71.34,40,63,64.4,11.41
Mersing,MY,1604776948,2.43,103.84,42,94,75.2,6.93
Boden,SE,1604776950,65.83,21.69,0,64,37.4,13.87
Touros,BR,1604776953,-5.2,-35.46,40,70,84.2,13.87
Pinyug,RU,1604776954,60.25,47.78,100,92,34.16,8.72
Alice Springs,AU,1604776827,-23.7,133.88,0,20,62.6,5.82
Porto Novo,CV,1604776958,17.02,-25.06,75,65,80.6,19.46
Nyurba,RU,1604776960,63.28,118.33,22,90,-5.87,4.74
Oxelösund,SE,1604776962,58.67,17.1,0,87,50.0,10.29
Paamiut,GL,1604776702,61.99,-49.67,100,90,29.17,15.46
Juodupė,LT,1604776966,56.08,25.62,100,91,49.44,12.66
Ahipara,NZ,1604776462,-35.17,173.17,91,85,61.7,11.56
Grottammare,IT,1604776970,42.99,13.86,0,85,51.01,3.91
Pangnirtung,CA,1604776972,66.15,-65.71,90,92,10.4,11.41
Vila Velha,BR,1604776678,-20.33,-40.29,20,78,78.8,10.29
Ancud,CL,1604776977,-41.87,-73.82,0,55,64.4,9.17
North Battleford,CA,1604776979,52.78,-108.28,90,92,30.2,17.22
Rio Grande,BR,1604776932,-32.03,-52.1,75,69,73.4,18.34
Burē,ET,1604776983,10.7,37.07,100,87,58.87,4.61
Ostrovnoy,RU,1604776429,68.05,39.51,100,89,35.01,11.48
Yamada,JP,1604776988,39.47,141.95,2,82,53.19,6.17
Faanui,PF,1604776990,-16.48,-151.75,59,79,78.76,13.22
Torbay,CA,1604776992,47.67,-52.73,75,81,51.01,27.51
Kashary,RU,1604776994,49.04,41.01,92,78,46.35,13.11
Ninghai,CN,1604776996,29.29,121.42,50,40,68.0,8.95
Grindavik,IS,1604776999,63.84,-22.43,75,75,42.8,23.04
Mayo,CA,1604776939,63.59,-135.9,75,68,-16.6,1.57
Pervomayskoye,RU,1604777003,43.92,46.71,100,54,50.92,19.64
Whakatane,NZ,1604777005,-37.96,176.99,12,91,66.0,5.01
Port Neches,US,1604777007,29.99,-93.96,1,57,81.0,9.17
Saint-Philippe,RE,1604777008,-21.36,55.77,0,78,73.4,9.17
Shingū,JP,1604777010,33.73,135.98,100,90,63.37,3.65
Santander,ES,1604776770,43.46,-3.8,0,87,62.01,3.36
Vestmanna,FO,1604777014,62.16,-7.17,75,86,39.2,1.12
Macau,BR,1604776918,-5.12,-36.63,0,52,88.09,24.45
Hibbing,US,1604777020,47.43,-92.94,75,67,64.0,10.29
Lorengau,PG,1604776448,-2.02,147.27,33,75,81.1,8.72
Mossamedes,AO,1604776856,-15.2,12.15,54,66,71.06,11.86
Aiken,US,1604777026,33.58,-81.6,75,57,80.01,10.29
Verkhoyansk,RU,1604777028,67.54,133.38,18,83,-26.21,0.76
Kitimat,CA,1604777030,54.05,-128.65,0,85,37.0,5.32
Palauig,PH,1604777032,15.44,119.9,100,79,79.2,6.17
London,GB,1604776763,51.51,-0.13,1,93,53.01,8.05
Port Hardy,CA,1604776505,50.7,-127.42,20,60,42.8,19.46
Yenagoa,NG,1604776682,4.92,6.26,100,89,77.34,5.75
Muros,ES,1604776744,42.78,-9.06,28,90,61.0,10.0
Liyang,CN,1604777041,29.71,118.29,0,65,52.61,0.81
Port Augusta,AU,1604777043,-32.5,137.77,0,93,51.01,5.82
Luena,AO,1604777044,-11.78,19.92,100,76,67.33,3.04
Enshi,CN,1604777046,30.3,109.48,0,73,52.52,0.92
Bontang,ID,1604777048,0.13,117.5,100,85,77.88,6.51
Udarnyy,RU,1604777050,54.34,42.86,0,87,36.91,6.98
Francistown,BW,1604777054,-21.17,27.51,40,47,80.6,5.82
Ji’an,CN,1604777056,27.12,114.98,75,56,63.14,8.1
Filingué,NE,1604777058,14.35,3.32,2,13,85.71,8.61
Victor Harbor,AU,1604777060,-35.57,138.62,0,86,48.99,9.42
Fort Nelson,CA,1604776508,58.81,-122.7,75,84,5.0,5.08
Port Macquarie,AU,1604777064,-31.43,152.92,55,87,59.0,10.29
Tshikapa,CD,1604777066,-6.42,20.8,100,87,73.81,1.81
Khipro,PK,1604777068,25.83,69.38,0,25,75.81,7.07
Béjar,ES,1604777071,40.39,-5.76,12,92,52.0,5.26
Ushtobe,KZ,1604777073,45.25,77.98,100,44,46.51,5.57
Talara,PE,1604777075,-4.58,-81.27,0,61,77.0,13.87
Zyryanovsk,KZ,1604777077,49.74,84.27,0,89,32.95,0.45
Muravlenko,RU,1604777079,63.79,74.52,100,99,33.53,5.5
Wajir,KE,1604777081,1.75,40.06,5,78,80.6,7.18
Ürümqi,CN,1604777083,43.8,87.6,0,59,33.8,2.24
Amapá,BR,1604777085,1.0,-52.0,100,80,82.9,3.4
Sobolevo,RU,1604777087,54.43,31.9,100,90,46.56,12.53
Inongo,CD,1604776717,-1.95,18.27,100,87,73.78,1.52
Sibay,RU,1604777091,52.72,58.67,100,82,36.55,6.33
Mpika,ZM,1604777093,-11.83,31.45,3,22,72.64,8.41
Atar,MR,1604776940,20.52,-13.05,100,35,98.6,10.58
Port Moresby,PG,1604777097,-9.44,147.18,40,88,77.0,3.36
Tateyama,JP,1604777099,34.98,139.87,75,82,68.0,5.82
Casper,US,1604776811,42.87,-106.31,20,31,64.4,26.4
San Patricio,MX,1604777104,19.22,-104.7,5,62,87.8,11.41
São Domingos,BR,1604777108,-13.4,-46.32,100,66,80.29,2.75
Bintulu,MY,1604777110,3.17,113.03,40,94,77.0,4.7
Taoudenni,ML,1604777082,22.68,-3.98,99,14,86.38,6.87
Owando,CG,1604776830,-0.48,15.9,30,92,73.2,2.8
Kieta,PG,1604776539,-6.22,155.63,3,78,78.17,2.42
Mayumba,GA,1604776680,-3.43,10.66,94,90,78.04,7.23
Alpena,US,1604777122,45.06,-83.43,1,49,73.4,8.05
Tiznit Province,MA,1604777124,29.58,-9.5,0,67,64.42,3.67
Taltal,CL,1604777127,-25.4,-70.48,29,62,64.72,4.83
Cayenne,GF,1604777129,4.93,-52.33,0,100,77.0,2.24
Broome,AU,1604777131,-17.97,122.23,1,94,77.0,4.7
Chimbote,PE,1604777133,-9.09,-78.58,6,68,67.33,12.1
North Platte,US,1604776994,41.12,-100.77,1,27,75.2,14.99
Salvador,BR,1604777012,-12.97,-38.51,40,74,84.2,11.41
Poronaysk,RU,1604777139,49.22,143.12,100,96,28.72,8.9
Kogon,UZ,1604776800,39.72,64.55,100,22,64.4,6.93
Sorokino,RU,1604777143,53.75,84.92,65,85,35.92,6.64
Santa Lucía,ES,1604777145,27.91,-15.54,75,73,71.6,2.24
Danshui,CN,1604777147,22.8,114.47,0,55,78.01,11.25
Starup,DK,1604777149,55.24,9.54,20,93,41.0,2.24
Rawson,AR,1604776699,-43.3,-65.1,100,33,69.42,23.71
Saint Paul Harbor,US,1604777153,57.79,-152.41,90,81,42.8,3.36
Muyezerskiy,RU,1604777156,63.93,31.65,26,73,38.62,14.92
Gari,RU,1604777036,59.43,62.35,80,94,34.09,4.36
Moose Factory,CA,1604777160,51.26,-80.61,40,90,32.0,14.99
Bredasdorp,ZA,1604777162,-34.53,20.04,0,72,60.8,9.17
Luleå,SE,1604777164,65.58,22.15,0,64,37.4,13.87
Quatre Cocos,MU,1604776912,-20.21,57.76,20,78,73.4,8.05
San José del Guaviare,CO,1604777169,2.57,-72.65,93,79,84.24,1.68
Anadyr,RU,1604777171,64.75,177.48,75,92,19.4,6.71
Monteagudo,BO,1604777173,-19.82,-63.98,97,22,90.03,8.5
Ambon City,ID,1604777175,-3.7,128.18,97,16,75.99,9.62
